2094,Pstk
2096,Park7
2098,Mterf1a
2100,ND4L
2102,AA467197
2104,Sccpdh
2106,Uqcc2
2108,Nme3
2110,Gtpbp6
2112,Acyp2
2114,Mgarp
2116,Myg1
2118,Mutyh
2120,Fastkd5
2122,Paics
2124,Cpt1c
2126,Wbscr16
2128,Cct7
2130,Prdx4
2132,P4hb
2134,Pycr1
2136,Cryz
2138,Angel2
2140,Mgme1
2142,Comtd1
2144,Atic
2146,Neu4
2148,Apex2
2150,Txndc12
2152,Dusp26
2154,Cyp27b1
2156,Hdhd3
2158,Abcf2
2160,ND6
2162,Tdrkh
2164,Gpx4
2166,Comt
2168,Slc22a4
2170,Cry1
2172,Trub2
2174,Ccdc127
2176,Acsl4
2178,Prepl
2180,Gng5
2182,Thg1l
2184,Pif1
2186,1110008F13Rik
2188,Cep89
2190,Acot10
2192,Emc2
2194,Efhd1
2196,Bid
2198,Slc30a6
2200,Cyp24a1
2202,Sptlc2
2204,E130311K13Rik
2206,Agr2
2208,Tchp
2210,Nt5c
2212,Agk
2214,Dus2
2216,Pank2
2218,Polg2
2220,Tomm34
2222,Rpl35a
2224,Fkbp10
2226,Bcl2l1
2228,Golph3
2230,Cyb5r2
2232,Rab32
2234,Armc10
2236,Nt5dc2
2238,Alkbh1
2240,Akap10
2242,Serac1
2244,Sept4
2246,Nucb2
2248,Fastkd3
2250,Nbr1
2252,Tcirg1
2254,Rpia
2256,Rcn2
2258,1110008L16Rik
2260,Lamc1
2262,Stx17
2264,Cdc25c
2266,Pick1
2268,Casp8
2270,Nsun3
2272,Bcl2l2
2274,Bcl2
2276,Bad
2278,Pak7
2280,Dna2
2282,Dmpk
2284,Prss35
2286,Pabpc5
2288,Gimap3
2290,Atp10d
2292,Spata20
2294,Rpl34
2296,Plgrkt
2298,Secisbp2
2300,Rab11fip5
2302,Ncoa4
2304,1700066M21Rik
2306,8430408G22Rik
2308,Cstad
2310,Asah2
2312,Clic4
2314,Snap29
2316,Trmt11
